12468	all
16592	right
21284	,
10192	this
184878	be
2	elissa
11	adam
112592	and
87330	you
60978	have
3213	live
40695	in
171	charlotte
1	for--
2354	five
7945	year
10046	.
298	ok
21807	um
2261	first
11802	thing
144989	i
5212	want
71850	to
798	ask
13017	if
1769	remember
4119	any
1184	book
87569	that
2005	read
10091	as
72657	a
2960	child
17038	or
1445	either
3061	by
656	teacher
6372	your
1172	parent
138	grandparent
14883	really
1624	enjoy
18902	there
2762	anything
457	particular
5554	come
606	mind
1717	?
8032	no
746	nothing
6297	how
12588	about
1257	story
67034	uh
57714	do
36800	n't
28808	but
48425	know
8940	people
10241	up
14336	with
8336	mean
2628	tell
24379	like
2248	hear
10030	when
1277	grow
14385	not
8692	can
3882	school
1309	everybody
3193	stuff
2907	alway
2271	everything
759	certain
6492	more
3579	than
5057	other
2615	maybe
201	english
647	class
7	re
84	recall
22443	well
16721	what
7880	now
62	thanksgiving
6220	's
2342	family
23695	get
865	together
19738	for
410	christma
978	eat
382	dinner
22442	just
2978	talk
1312	might
1880	happen
98949	the
442	past
9017	some
5871	make
18176	oh
9671	lot
55561	of
8805	time
33718	we
1218	sit
2808	around
5	reminisce
21573	go
4150	back
14094	one
4057	those
1348	company
3255	over
5697	guess
1850	four
701	hum
16348	my
549	mom
6288	take
7136	me
83564	it
446	doctor
410	visit
110	physical
662	test
14252	he
2	dium
19	diagnose
3	acute
17	leukemia
79	raleigh
6	momma
340	trip
364	forth
11	chapel
180	hill
2000	through
1518	couple
53	treatment
109	(
109	)
2251	different
202	shot
819	each
15714	uh-huh
5839	little
17020	on
4452	way
2194	let
21763	think
40	wing
292	hospital
5735	where
1280	six
1783	whole
2115	same
8975	see
1089	turn
11196	out
1561	after
2840	only
2	survivor
3654	day
2318	every
8984	then
27656	so
90	primarily
3855	who
10341	would
664	dad
1144	both
2676	actually
570	sister
699	write
670	room
5844	much
2805	these
171	afternoon
2051	play
15	sidewalk
159	kitchen
6093	something
21	pretend
178	act
31	salesman
456	front
494	door
85	ring
5	doorbell
8702	she
3	glow
280	light
112	lord
778	definitely
46	cure
2653	call
435	fine
19	miracle
9235	say
102	whoever
1835	part
2220	last
43382	they
6608	from
292	begin
1434	end
3677	sure
3927	pretty
2163	old
1508	enough
11051	at
45924	yeah
1262	exactly
725	wait
579	anybody
5320	very
1665	interesting
635	experience
1859	ever
494	yourself
260	obviously
605	several
2	co-worker
2987	ca
1062	believe
3104	never
426	unless
224	share
10454	them
1338	help
868	reason
97	earth
954	yet
25	um-huh
1605	far
5324	an
17	ordinary
338	regular
192	basis
1314	once
1393	while
204	relate
1603	else
396	reading
3697	look
1567	type
73	survive
105	disease
1636	life
59	threaten
3884	try
2664	find
2	guidepost
1722	another
47	reader
36	digest
78	cancer
415	interested
44	guide
319	thank
47	welcome
1241	woman
122	voice
263	tape
18	1
793	side
7	@
15	5
91	:
63	20
797	minute
164	please
1025	name
9	stephanie
373	south
650	age
8	18
5	a--
287	finish
41	freshman
1351	college
8417	kind
1680	hard
7	know--
4	wha
242	compare
1377	high
1767	why
815	decide
1237	stay
116	closer
865	number
4486	two
1328	friend
5631	here
3026	which
2	unc
11598	because
135	nurse
2594	still
13	or--
665	anymore
7	just--
39	curriculum
160	extremely
525	education
564	plan
4455	ye
2558	feel
1902	area
498	\
4821	'll
325	near
2224	care
280	whenever
653	older
329	happy
638	rather
460	nursing
205	heart
294	behind
1546	whatever
1	sem
71	differently
433	wish
5034	could
158	horrible
1679	bad
4	3
3	0
82	b
28	occasional
102	c
213	lucky
113	d
1299	again
3712	home
254	study
444	instead
330	hurt
93	freedom
128	aspect
4166	even
1806	though
2	curfew
307	answer
400	except
933	learn
163	manage
364	grade
6986	work
1019	next
763	set
89	goal
859	myself
3998	probably
591	wo
1297	love
2379	place
3618	put
175	pressure
71	disappoint
1583	better
4126	down
310	speak
145	harder
579	interest
2417	give
1061	pick
325	choose
29	counselor
79	helpful
369	nobody
1650	own
4827	use
1	school--
145	-
61	�
27	lenient
9	sa
1274	show
2818	need
4944	their
56	classroom
1302	system
373	general
173	oppose
166	everywhere
7	to--
810	!
52	nervous
143	balance
479	weekend
669	during
1774	week
2328	should
2527	nice
415	talking
669	today
62	childhood
716	wonder
1037	mother
2011	great
820	deal
481	ah
138	uncle
3	wiggly
706	favorite
95	rabbit
74	farmer
76	chase
2573	his
16	carrot
17	patch
142	character
62	associate
19	st
209	sick
105	herself
16	utilize
106	bug
24	bunny
4	thumper
5	bambus
210	cousin
11	phil
19	canadian
21	northwest
119	hunt
411	meet
2279	course
48	publish
4	copyright
2	handwritten
5077	our
79	file
1	uhem
34	peter
2	cottontail
2850	him
545	under
50	wire
11	mickey
26	mouse
71	disney
869	world
1503	hundred
1467	ago
2698	three
10	envision
2552	us
107	pattern
605	girl
81	;
1497	fact
4	louisa
1058	may
4	alcott
96	massachusett
1	umm--
460	hate
426	later
166	draw
34	blank
16	cinderellum
2116	also
10	wicked
2	stepsister
1551	sometime
1745	run
2347	most
102	impact
4	heidus
1	alp
8002	good
1	tell--
277	record
16	roy
22	roger
1	gabby
22	hay
82	quote
725	funny
14	description
158	cowboy
2	paraphernalia
3	existent
1	tapadero
144	protect
27	boot
8	saddle
16	[
155	laugh
6	revert
